speakers,dialogue
leonard,"Sorry, buddy."
sheldon,What are you doing?
leonard,Comforting you?
sheldon,"Your heart might be in the right place, but your head, chest and arms certainly aren’t."
leonard,"Anyway, the, the funeral’s on Sunday."
sheldon,"But, that’s Star Wars Day."
leonard,"Yeah, um, of all the things about this that are sad, that might not be number one. You okay? I know he meant a lot to you."
sheldon,I’m fine.
leonard,Okay. Yet he cried when they changed the Raisin Bran box.
amy,Watching your old friend?
sheldon,"Hmm. Yes. Look at him, Amy. It’s such a shame. Struck down in the prime of my life."
amy,Do you want me to go to the funeral with you?
sheldon,"Oh, I’m not going to the funeral."
amy,Why not?
sheldon,"All those people blowing their noses. You can’t tell the sick from the sad. Mm. I’ll be at home celebrating Star Wars Day, as planned."
amy,Are you sure you don’t want to go say good-bye?
sheldon,"Amy, mourning the inevitable is a complete waste of time."
amy,And watching a bunch of goofy space movies you’ve seen hundreds of times isn’t?
sheldon,"If we were in a physical relationship, you just lost sex tonight."
penny,"Hey, guys."
raj,"Hey, Penny. Happy Star Wars Day."
penny,Okay.
raj,Can I make you breakfast? Admiral Ackbar’s Snack Bar is open for business.
penny,"No, thanks. Leonard and I are just going to the funeral."
howard,You sure. Not even coffee? We have R2-Decaf. Maybe a nice Cafe Au Leia?
raj,And if you’re not in the mood for coffee I can always make you a Chai Tea-3PO.
penny,"Oh, I get it, like C3PO. What happened to me?"
raj,"Hey, uh, Sheldon, you want anything?"
sheldon,"Uh, no, thank you."
howard,You’re being so quiet. Are you upset or are you just rebooting?
sheldon,I’m fine.
penny,"Sweetie, are you sure you don’t want to come with us to the funeral?"
sheldon,"Oh, I appreciate the offer, but Arthur is gone and there’s nothing I can do about it. When Darth Vader struck down Obi-Wan, did Luke cry like a baby and go to his funeral?"
penny,"No, he blew up the Death Star. Why do I know this?"
sheldon,"Arthur Jeffries was a scientist. I’m sure he didn’t care about silly superstitions like funerals. You know, if he were here, I think he’d say enjoy Star Wars Day."
leonard,"He was 84, he’d say where’s my pudding?"
raj,"Before you go, at least let me pack you some Attack of the Scones for the road."
penny,"Oh, like Attack of the Clones. We are leaving right now."
amy,Arthur passing away was harder on Sheldon than he’s ready to admit. Really hoping this will cheer him up.
bernadette,"Me, too. Although, it might’ve been thoughtless of us to bake a Death Star cake."
amy,"No, it combines two of Sheldon’s favorite things, chocolate chips and the ability to destroy a planet at the push of a button."
bernadette,"Well, anyway, it’ll be a nice surprise for the boys. And Howie doesn’t think I take his interests seriously, so hopefully this will keep him fooled for a while."
amy,"Okay, let’s get the fondant and start decorating."
bernadette,This is pretty cool. You don’t see too many spherical cakes.
amy,I wonder why that is.
penny,I have a confession to make.
leonard,Hmm?
penny,I’ve never been to a funeral before.
leonard,Really?
penny,"I just never knew anyone that died. I had a pet pig when I was a kid. I mean, when he died, we didn’t have a funeral, we had a barbecue."
leonard,"Yeah, we won’t be eating Arthur tonight."
penny,"I didn’t know him very well, but I still really liked him. It’s weird that he’s just gone."
leonard,I know.
penny,I feel like I want to cry.
leonard,"Oh that’s, that’s fine. Go ahead."
penny,I can’t do it with you staring at me.
leonard,Sorry.
penny,"No, I’m dry. You’re a big crybaby, you start, I’ll join in."
leonard,I am not a crybaby.
penny,Toy Story 3?
leonard,"The toys were holding hands in a furnace. Look, Arthur lived a full life. And he inspired a lot of people. Sure, he, he was my childhood hero, but the fact that I got to work with him, side by side, before he died was, it was, it was a gift."
penny,It was a gift. Thank you for being the emotional one in this relationship.
leonard,I got your back.
penny,Yeah.
sheldon,"Okay, here we go. Episode I"
raj,"Ugh, let’s get this over with."
howard,"Since we all agree Episode I isn’t our favourite, maybe we just skip it this time."
sheldon,"Howard, I think you of all people should avoid espousing the principle that if something is not our favourite we should just get rid of it."
raj,"You know, I heard of this way of watching the movies called the Machete Order, where you watch Episodes IV and V, then skip Episode I, watch II and III as a flashback, and then finish with VI."
howard,"Okay, so you’d lose most of Jar Jar, all the trade route talk and the boring senate hearings, which are like watching C-SPAN with monsters."
sheldon,Get rid of the trade route part? Then how would Palpatine get Chancellor Valorum kicked out of office? How would he get himself elected? How? Can we get through one holiday without you saying something ridiculous?
raj,It was just a suggestion.
sheldon,"Well, you know what else was just a suggestion? Why don’t we change the Raisin Bran box? Hmm? And you know who got hurt by that? Every single person who eats breakfast."
raj,Wow.
howard,I think he’s taking this Professor Proton thing pretty hard.
raj,Should we try to console him?
howard,Or should we respect his privacy in this moment of grief?
raj,By staying here and watching the movie.
howard,That’s what good friends would do.
howard,"Well, at least without Sheldon here, we got to start with Episode IV."
raj,"Mm, true. I do feel guilty about him."
howard,"Me, too."
raj,Maybe we should see how he’s doing.
howard,Yeah.
raj,But after the cantina scene.
howard,Obviously.
sheldon,"Look at Arthur, cracking up at a joke I told him. I’ll never hear that laugh again."
sheldon,Arthur. I thought you were dead.
sheldon,Why are you here?
sheldon,I know why. You’ve come to me because you’re my Obi-Wan.
sheldon,"Wow. Uh, you’re dead, so I’m going to let that slide. Obi-Wan Kenobi is a character from Star Wars. After his physical demise, he comes to Luke Skywalker as his mentor in spirit form."
sheldon,You must be here to give me advice.
sheldon,Those are your Jedi robes.
sheldon,Be careful with that.
leonard,"So, what did you think of your first funeral?"
penny,"Well, I don’t want to be a jerk, but it was kind of a bummer."
leonard,"Yeah, well, when I die, you can rent a bounce house."
penny,You think about dying?
leonard,"Mm. Well, I think more about if I’d have any regrets."
penny,What would you regret?
leonard,"Mm, you know, that I didn’t travel more, take more risks, learn another language."
penny,You know Klingon.
leonard,That’s true.
penny,"No, I meant that as a regret."
leonard,I just thought of one more.
penny,What’s that?
leonard,I regret not saying yes when you asked me to marry you.
penny,"Well, it just wasn’t the right time."
leonard,Yeah.
penny,And this is also not the right time. Do not propose.
leonard,What?
penny,I know that face. That’s your propose face.
leonard,I was not gonna propose. It’s already two to one.
penny,What’s two to one?
leonard,"I proposed twice, you proposed once. Two to one."
penny,"Oh, my. It’s not a contest."
leonard,I don’t know what you’re upset about. I’m the one who’s losing.
penny,Okay. Fine. Would you feel better if I propose so you could turn me down again?
leonard,"Yeah, I think I would."
penny,"Okay. Leonard, will you marry me?"
leonard,Hmm.
penny,"No, don’t you dare. You reject me right now and tie things up."
leonard,It’s just such a big decision. I don’t want to have any regrets.
amy,Did you ever watch Professor Proton when you were a kid?
bernadette,"No. My dad controlled the TV, so unless someone was a Texas Ranger, Jake or the Fatman, we didn’t see it."
amy,"I never watched him, either, but he seems to be the reason that Sheldon got interested in science."
bernadette,"Not me. I got into science ’cause I was always the smallest kid in school, so I thought if I became a scientist, I could invent a formula that made me taller."
amy,That’s cute.
bernadette,"Yeah, I thought it was working for a while, but then I found out my brother was just lowering the pencil marks on the door frame. How about you?"
amy,"Oh, I guess it must have been back when I was in the Girl Sprouts."
bernadette,Girl Sprouts?
amy,My mom made it up as an alternative to the Girl Scouts. She didn’t want me selling cookies on some street corner like a whore.
bernadette,How did that get you into science?
amy,"Oh, I went to the library and took out a book on biology to see what whores did."
leonard,"On the one hand, if I say yes…"
penny,This isn’t funny anymore. Just say no so we’re done with this. Will you marry me or not?
leonard,"Ooh, interesting. Did you just propose to me again?"
penny,No.
leonard,"Really? Because I just heard will you marry me? That’s two proposals, one day. Sounds like someone wants to spend the rest of her life telling people how to spell the name Hofstadter."
penny,You know what? Fine. Do whatever you want.
leonard,"Hey. Penny, don’t get upset. Here. I love you, but, no, I will not marry you."
penny,Thank you.
leonard,"Now, about that second proposal. On the one hand…"
sheldon,This is the swampland of Dagobah. It’s where Luke was trained in the ways of the Jedi.
sheldon,"When Obi-Wan came to Luke on this very spot, he gave him all sorts of helpful advice. So, um, what do you got for me?"
sheldon,That’s it? I thought there’d be more of a reason why you’re here.
sheldon,I suppose it has something to do with your recent passing.
sheldon,"Oh, no. No. I’ve already had to say good-bye to 11 Dr. Whos."
sheldon,"Of course, my grandfather died when I was five. My father died when I was 14."
sheldon,"And now you’re gone, too. It’s like all the men I’ve looked up to have gone away."
sheldon,But I do appreciate them.
leonard,"Hey, buddy. Heard you’re having a rough day. You all right?"
sheldon,I’m okay. How was the funeral?
leonard,"It was nice, you know. A lot of people showed up, told some great stories about him. Did you know that Arthur’s son is a high school sci…?  Hey, the guys are about to start Jedi. You want to go watch?"
sheldon,I do. After I make them go back and watch one through five first.
leonard,"Sheldon, that, that’ll take us all night."
sheldon,"That’s true. Oh, it’s a good thing I had a nap."
howard,"Boy, some of the physical comedy with Jar Jar is a little tough to watch."
leonard,At least they toned him down in the second one.
penny,"Yeah, he is pretty stupid."
raj,"Hey, we can say it. You can’t."
amy,"Hey, guys."
bernadette,Happy Star Wars Day.
sheldon,Wow. A Death Star cake.
amy,Yeah. We were hoping it might cheer you up.
bernadette,"And even though it meant we had to miss the movies, we could still be part of the fun."
howard,"Well, you didn’t miss anything. We just started over."
bernadette,Son of a bitch.
sheldon,You’re back.
sheldon,That’s nice.
sheldon,Why do I need you now?
sheldon,So?
sheldon,Not at all.
bernadette,Almost there. You’re doing great.
howard,"Thanks for lifting my spirits. Next time, try lifting the box."
raj,Please hurry.
howard,The doctor says you need to get exercise.
howard,Crushing my will to live isn’t exercise.
raj,"If she isn’t gonna use it, then why are we doing this?"
howard,She’ll use it. All I need is to rig it with a fishing pole and a HoneyBaked Ham.
raj,All right. Now what?
bernadette,We set it up in Howie’s old room.
raj,Do you know how to set it up?
howard,"Please, I’m an MIT-trained engineer. I think I can handle… Ma, look out."
raj,So she’s gonna be laid up for at least six weeks.
leonard,Poor Mrs. Wolowitz.
amy,Should we do something for her?
sheldon,I know. Let’s go see the new Spider-Man movie.
amy,"Sheldon, we’re talking about your friend’s mother. She got hurt."
sheldon,"I thought that subject had run its course, so I changed it. It’s called reading the room, Amy."
penny,Hi.
leonard,"Hey, how were things on the set?"
penny,"Uh, pretty good, actually."
raj,So the movie’s not as bad as you thought?
penny,"Oh, no, it is, but I decided instead of complaining about it, I’m just gonna go in every day and give it my all."
amy,Good for you.
penny,Thanks. There’s no reason why I shouldn’t be the best bisexual go-go dancer slowly transforming into a killer gorilla anyone’s ever seen.
leonard,I don’t know. The bisexual gorilla go-go dancer in Schindler’s List is tough to beat.
sheldon,"Ah, very good. Because a gorilla go-go dancer of any sexual preference would be out of place in a film about the Holocaust."
leonard,"It only gets funnier when you explain it, Sheldon."
sheldon,I know.
howard,"Okay, she’s all settled in the guest room."
bernadette,Maybe we should get one of those machines to help her up the stairs.
howard,You mean a forklift?
bernadette,Howie.
howard,I’m sorry. I just can’t deal with this right now.
bernadette,Taking care of your own mother? How can you say that?
howard,"Bernie, she’s gonna be off her feet for six to eight weeks. Are you prepared to feed her, wash her and take her to the toilet?"
bernadette,I would do it for my mother.
howard,"Yeah, of course you would, you’re a loving person. I’m what my people would call a putz."
bernadette,"Look, I’m not crazy about the idea, but what other choice do we have?"
howard,We get a nurse. Preferably someone from a third world country who’s used to suffering and unpleasant smells.
bernadette,You’d hire a total stranger to take care of the woman who raised you? That’s so cruel.
howard,Not if we pay them well and let them listen to the music of their homeland.
howard,Sounds like a job for a loving person. Would you like me to play some Polish music while you carry her to the toilet?
bernadette,You are a putz.
howard,As advertised.
sheldon,Thanks for coming with me.
raj,Thanks for inviting me after everyone else said no. Aren’t you gonna get 3-D glasses?
sheldon,I brought my own. No sense in risking bridge-of-nose herpes.
raj,Is that a real thing?
sheldon,"Well, until they invent nose condoms, I’m not finding out."
raj,"Emily, Hey."
raj,"Uh, this is my friend, Sheldon. Sheldon, this is Emily."
sheldon,"Oh, yes, you’re the dermatologist. I went for a walk yesterday without sunscreen. Do you see anything on my forehead that I should be concerned about?"
raj,Are you here alone?
raj,"What do you mean, not really?"
raj,"Yeah, okay."
sheldon,"That was awkward, right?"
raj,Uh-huh.
sheldon,Is it because she’s dating you but was out with that other fellow?
raj,Yes.
sheldon,Good. I thought she saw something on my forehead.
penny,Go away. Just go away.
penny,What gave you the right to mix my DNA with that of a killer gorilla?
penny,"Life? What life? Look at me, I’m a monster. And now I have blood on my hands, or paws. I don’t know."
penny,"I love you, too. But I’m afraid I love killing more. Like, one day, I might actually try and kill you."
penny,"Actually, you know what? Can we do one more? I think I could do it better."
penny,"Well, I care. I mean, look, if we’re gonna do this, why not try and make it something we’re actually proud of?"
leonard,"Whoa, whoa, hang on. There’s no need to insult her."
leonard,I’m her boyfriend.
leonard,"A little, yeah."
penny,You can’t do that. He’s with me.
penny,What? You can’t fire me. I’m the star. I’m the girl that goes bananas. It says so on the poster.
raj,Thanks for skipping the movie. I couldn’t sit in that theatre for two hours wondering about Emily and that guy.
sheldon,"Oh, quite all right. After my forehead melanoma scare I’ve learned not to sweat the small stuff. Well, sorry, I don’t have all the ingredients to make chai tea."
raj,You don’t have to make me anything.
sheldon,"No, I do. You’re upset about Emily and you’re Indian. I need to make you chai tea. Now, I have all the ingredients except cardamom seeds. Do you happen to have any on you?"
raj,"Sorry, I left them in my turban."
sheldon,"Oh, I’ll make English breakfast tea. They destroyed your culture. That’s close enough. You know, I’m curious, why are you so upset about seeing Emily with another man?"
raj,Wouldn’t you be upset if you saw Amy out with someone else?
sheldon,Can’t happen. We have an ironclad relationship agreement which precludes her from physical contact with anyone other than me.
raj,"But you don’t have sex with her, either."
sheldon,"Slick, huh?"
raj,"To be truthful, Emily and I haven’t dated that long, and we never agreed to be exclusive to each other."
sheldon,Have you had intercourse?
raj,No.
sheldon,"Well, stick to your guns. There will be a lot of pressure."
howard,It’s like the world’s fattest cuckoo clock.
bernadette,"You know, you’re always talking about having a baby someday. This is exactly what it’s gonna be like."
howard,"No, it’s not."
bernadette,"Come on. The constant fussing, eating, pooping, burping, drooling. We’re even waiting for the day when she can finally walk on her own."
howard,Maybe you’re right. Anything she finds on the floor goes right in her mouth.
bernadette,"I’m just telling you now, if we do have kids, don’t expect me to do all the work."
howard,"Hey, I’m a very paternal person. I’d be excellent at taking care of a baby."
howard,"I’m coming, you big baby."
penny,"You know, the only thing worse than doing a movie where they glue monkey hair to your ass is getting fired from a movie where they glue monkey hair to your ass."
penny,"Yeah, well, it’s easy for you to say. You used to be famous."
penny,"All right, I’m sorry, you’re famous."
penny,"God, what am I doing with my life?"
leonard,You having second thoughts about acting?
penny,"You were on set, you saw what it was like."
leonard,"Yeah, but it’s not always that bad."
penny,"Oh, really?"
leonard,"What about when you did, uh, Anne Frank at that cute little theater?"
penny,It was over a bowling alley.
leonard,"Yeah, but there was ample parking."
penny,Are you done?
leonard,And you were so good in the TV commercial.
penny,It was for haemorrhoid cream.
leonard,And I got itchy and swollen just watching you.
penny,"Leonard, you are really not cheering me up."
leonard,Come on. How can you be sad when you’re going home with all five-foot-six of this?
penny,"Hmm. You think you’re five-foot-six, that’s funny."
raj,"I don’t understand it. I’m a nice guy, I have a great job, I’m well-educated, come from a good family. Why don’t women want to be with me?"
sheldon,"An interesting question. Well, good night."
raj,What? Don’t send me home. I can’t be alone right now.
sheldon,That’s your problem. You can’t be alone.
raj,What do you mean?
sheldon,How many women have you had dates with?
raj,Eleven.
sheldon,How many of those women did you think would become your perfect companion?
raj,Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?
sheldon,Sure.
raj,I’ll stick with eleven. She liked Howard better.
sheldon,"Well, now do you see the problem?"
raj,"Maybe. I, I don’t know.It’s late, I should, I should go. Look, I do get what you’re saying. Instead of desperately clinging to any woman who will go out with me, I need to work on my fear of being alone."
sheldon,"I was trying to suggest chemical castration, but it’s my bedtime, so whatever gets you out the door. Good night."
bernadette,"Howie, I’m back!"
howard,"Shh, I just got her to sleep."
bernadette,Sorry.
howard,What took you so long? The grocery store is a few blocks away.
bernadette,They only had regular yoghurt. I had to go to a different store to get the extra-fat kind your mom likes.
howard,Then why do I smell coffee on your breath?
bernadette,"So what? After two days of taking care of her, excuse me for stopping to get a mocha."
howard,"A mocha? Well, it must be nice to be queen."
bernadette,Queen? I’ve been killing myself here.
howard,"Well, whose fault is that? I wanted to get a nurse, but you were all, I’m nice, I want to take care of people."
bernadette,I’m glad I got that mocha. And you know what else I’m glad about? I bought you a brownie and I ate it in the car.
howard,Thanks a lot. Now I have to go rub her belly again.
raj,Hey.
raj,"Of course. Please, come in."
raj,"Uh, look, you and I haven’t made any commitments to each other."
raj,It’s okay.
raj,"Well, I mean, yeah, it freaked me out a little, but that’s my issue, not yours."
raj,"Thank you. Not just for being upset, but for believing that could happen."
raj,"Well, me, neither."
raj,"Okay. Please. So, uh, you, you have tattoos?"
raj,I don’t. I have a hole in my belly button that may or may not have been a piercing.
raj,"It’s a piercing. So, uh, how many tattoos?"
raj,"It’s, uh, been a long time since I’ve seen a girl’s really not her shoulder."
raj,"But, uh, before I take my shirt off, I just need like ten minutes to do some crunches."
penny,"Oh, my God. What a day."
leonard,Can I get you anything?
penny,No. I need to start making some smart decisions.
leonard,With your career?
penny,With my life.
leonard,Like what?
penny,I don’t know. We could get married.
leonard,"Come on, be serious."
penny,I am.
leonard,"Why? Because I’m a, a smart decision?"
penny,"Well, yeah."
leonard,So I’m like a bran muffin.
penny,"What? No, that’s not what I’m saying."
leonard,"No, it’s exactly what you’re saying. I’m the boring thing you’re choosing because I’m good for you."
penny,"What does it matter? The point is, I’m choosing you."
leonard,"Well, it matters a lot. I don’t want to be a bran muffin. I, I want to be a Cinnabon, you know? A strawberry Pop-Tart. Something you’re excited about even though it could give you diabetes."
penny,"Sweetie, you can be any pastry you want."
leonard,"No, no. No, it’s too late. I’m your bran muffin. Probably fat-free and good for your colon."
penny,You know what? Forget it. I never should’ve brought it up.
leonard,"You know I want to marry you, but you’re only doing this because you got fired and you’re feeling sorry for yourself."
penny,"Okay, it may look that way, but getting fired from that movie was the best thing that could have happened to me, okay? I finally realize I don’t need to be famous or have some big career to be happy."
leonard,Then what do you need?
penny,"You, you stupid Pop-Tart."
leonard,Oh. Then I guess I’m in.
penny,Really? You guess you’re in?
leonard,"Not like, I guess I’m in. Like I guess, I’m in!"
penny,Okay. Leonard
leonard,"So is that it? Are, are we engaged?"
penny,"Yeah, I think so."
leonard,All right.
penny,What’s wrong?
leonard,I’m not sure. Just feels a little anticlimactic.
penny,"Yeah, it kind of does, huh?"
leonard,"Oh, I know. This might help."
penny,Where did you get a ring?
leonard,"I’ve had it for a couple years, not important. Penny, will you marry me?"
penny,"Oh, my God, yes."
leonard,This would have been so much more romantic if you didn’t have monkey hair on your finger.
howard,How you feeling?
bernadette,"Last night was a little rough, but I think we’re gonna get through this."
howard,I’m proud of us.
bernadette,"Me, too."
bernadette,You were right.
howard,Welcome to Team Putz.
leonard,How’s your mom holding up?
howard,"She’s doing okay, but we just lost another nurse."
amy,How many is that now?
howard,"Two, and I know what you’re thinking, she’s eating them."
bernadette,"She’s just so impossible, they keep quitting."
sheldon,"So, who’s watching her now?"
howard,A bowl full of M&M’s with a few Ambien tossed in.
raj,"What up, guys?"
leonard,"Okay. Well, now that everyone’s here, Penny and I have some big news. We’re engaged."
raj,And I thought me having sex with Emily was gonna be the big news.
leonard,"Hey, hey, what the hell?"
bernadette,You guys propose all the time. This never happens.
penny,You’re right! Yay!
raj,"Boy, I’m so hungry today. I wonder why?"
howard,Because you had sex the other night?
raj,"You know what? That may be it. By the way, it isn’t like riding a bike. Like, I fell off a few times."
leonard,"Hey, buddy."
sheldon,Hello.
leonard,You okay?
sheldon,I just got called into President Siebert’s office. The university won’t let me switch my field of study to inflationary cosmology. They’re forcing me to continue with string theory.
howard,Why?
sheldon,"He said it’s why they hired me, it’s, it’s what my grant was designated for, and that everybody has to do things they don’t want to do. He then gave an example of something he had to do, even though he didn’t want to, which was look at my stupid face."
leonard,"That’s a rude thing to say, out loud."
sheldon,"It’s an outrage. Honestly, I’m tempted to leave the university."
howard,"You know, if you’re really serious about that, I hear there are some exciting opportunities in home care for the old and fat."
leonard,"Whatever you do, just don’t make any rash decisions."
sheldon,I don’t know. I am really aggravated.
raj,"When I’m feeling low, I have sex with a girl. But that’s just me."
howard,"Oh, come on, give her a chance."
bernadette,"I know you’ve only been here a day and a half, but you’re like part of the family. I don’t think the service is gonna send any more people."
howard,"Yeah, maybe it’s time we just release Ma back into the sea."
bernadette,That’s not helpful.
howard,"Well, then, we may need to get used to the idea that we’re gonna be living here the next few months."
bernadette,But we have jobs. We can’t baby-sit her 24 hours a day.
howard,"Well, what if we use our vacation time?"
bernadette,"I wanted to go to Hawaii, not hell."
howard,I don’t know what else we can do.
bernadette,"Howie, I love you, and as your wife, your mother is every bit as much my problem as she is yours, so, I want a divorce."
leonard,"Hi, Mom. I have some exciting news."
leonard,"Before I tell you, will you promise to try and be happy for me and keep any concerns you have to yourself?"
leonard,I hate that you talk to him more than you talk to me.
leonard,You know what? It’s probably fine.
leonard,I’m your son. What about the fact that she’s good enough for me?
leonard,"Thanks, Mom."
leonard,"Yes, it would."
penny,"No, Mom, it’s the same guy I’ve been going out with for the past two years. Yeah, the scientist. Well, it’s complicated. I mean, he works with lasers and atomic magnets. No, I did not see it coming. No, we did not set a date. No, I am not pregnant. Yeah, this is a first for our family. All right, tell Dad I love him. I gotta go. All right, bye."
amy,Atomic magnets?
penny,Shut up.
bernadette,"Sorry I’m late. The leaf blower broke, so I had to hand-dry my mother-in-law."
penny,You want some wine?
bernadette,"Thanks. Little warning before you jump into this marriage business. You’re not just marrying him, you’re marrying his family."
penny,I think Leonard’s mom’s okay with me.
bernadette,"It doesn’t matter if she’s okay with you. The question is, can she go to the bathroom by herself? Hit me again."
amy,"So, what are the living arrangements gonna be?"
penny,"Well, haven’t really talked about it yet, but I figure at some point, I’ll move in with him, or he’ll move in with me."
amy,"Well, with you not working, that makes financial sense."
bernadette,You’re not working. How would you like a job in home health care?
penny,Not a chance.
bernadette,Please. I’m desperate.
penny,No.
bernadette,I’ll pay you anything you want.
penny,"Okay, then, yeah."
penny,"No, keep your money."
bernadette,I could’ve ridden a bull longer than that.
leonard,What you working on?
sheldon,"I’m writing an appeal to the Faculty Senate, so that I can move on from string theory."
leonard,Oh. How’s it going?
sheldon,"You tell me. Dear Esteemed Colleagues, as you may know, I have requested to change my field of study. My decision to do so is, I believe, in the best interest of science. At your convenience, I’d be happy to explain it to you in words you’ll understand."
leonard,It’s nice that you called them esteemed.
sheldon,You’re right. I’ll take that out.
leonard,"So, listen, there was something I was hoping to float past you."
sheldon,Mm.
leonard,"Now that Penny and I are engaged, I thought we might want to talk about our living arrangements."
sheldon,"Of course. She’s spent many nights here, and you’re worried about preserving the myth of her virginity before the wedding."
leonard,I’m not.
sheldon,"Good, because not only has that ship sailed, if it hit an iceberg, countless men would perish."
leonard,"Actually, this is about where she and I are going to live."
sheldon,What do you mean?
leonard,"Well, well, we might want to live together."
sheldon,"Oh, yeah, well, I’ve already given this some thought, and I’m willing to let Penny live with us one day a week for a trial period. Now, obviously, not when she’s made cranky by the shedding of her uterine lining."
leonard,That’s very sweet. But we were thinking more of us maybe living together with… not you.
sheldon,I don’t understand. How could we all live together if I’m not there?
leonard,"Look, I, I know this is, this is change, and that sounds scary."
sheldon,Where are you going to go?
leonard,"I don’t know. We just started to think about this. Maybe I’ll move in with Penny, or maybe she and I’ll take this place, and you can move across the hall."
sheldon,Move across the hall? Did you take a marijuana?
leonard,"No, I did not."
sheldon,Did you get hit on the head with a coconut?
leonard,No.
sheldon,"Well, then, I’m all out of guesses. What? Me move across the hall. Why would you even suggest such a thing?"
leonard,"Because I love Penny, and want to give her the life she deserves."
sheldon,I see. You’re putting your future bride’s happiness above mine.
leonard,"Well, yeah."
sheldon,Wow.
sheldon,How dare the university force me to go back to string theory?
amy,They just don’t appreciate you.
sheldon,"Yeah, and on top of that, Leonard has the audacity to suggest that now that he and Penny are engaged, he may not want to live with me any more."
amy,"Here, I made you some Strawberry Quik."
sheldon,"I have real problems here, Amy. I can’t be mollified with a beverage designed for children. Mmm, yummy."
amy,"You know, this might work out for the best. I mean, you’re always complaining about what a terrible roommate Leonard is. Like how he turns up the thermostat when you’re not there."
sheldon,"Ugh, it’s like walking into the Amazon. And not the good Amazon with one-day shipping. The awful one with birds and snakes."
amy,You hate the sound of all those keys on his key chain.
sheldon,"Four keys! Who does he think he is, a warden?"
amy,See? Maybe you’ll love living alone.
sheldon,I don’t know. Perhaps.
amy,"And if it turns out you don’t, you and I could live together."
sheldon,"You and… oh, sure, and while we’re at it, why don’t we get engaged, too? Why don’t we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?"
amy,"Sheldon, it was just a thought."
sheldon,"No. Here’s a thought. You’re not moving in, Leonard’s not moving out, everything stays exactly the way it is. And by the way, I saw you make this Strawberry Quik with syrup, you’re supposed to use the powder."
amy,It tastes the same.
sheldon,No. The syrup tastes better and I don’t like it.
penny,This is so sweet. You never cook for me.
leonard,"Well, you cook for me all the time and, ugh."
penny,"If you don’t like my cooking, why haven’t you ever said anything?"
leonard,It’s hard to talk with so much heavy chewing to do.
penny,Sorry. I’ll get better.
leonard,"I know you’ll try. So, should we talk about setting a date?"
penny,"Well, I’d like to pick one that works with my brother’s schedule."
leonard,Okay. And when would that be?
penny,"Uh, 12 to 18 months from now, depending on good behaviour."
amy,"Hi, is Sheldon here?"
leonard,"No, I thought he was with you."
amy,"He was, but he stormed off and now he isn’t answering his phone."
leonard,What happened?
amy,He was really angry that you suggested he move out.
leonard,Oh.
amy,I also mentioned that he and I could live together but he was too mad at you to realize what a great idea that is.
leonard,"Well, he’s been having a couple of tough days. I’m sure he’s fine. He probably just needs a little alone time to decompress."
amy,"You’re probably right. So, what are you guys doing?"
penny,"Well, Leonard cooked for me and now we’re just having a nice dinner, you know, as a newly engaged couple."
amy,That’s nice.
leonard,"Anyway, as I was saying, Sheldon probably just needs a little alone time. ‘Cause that’s important. Not just for him, but for most anybody, really."
amy,"Don’t I know it. What is that, polenta?"
penny,"Amy, get out."
amy,Right.
sheldon,No.
sheldon,What happened?
sheldon,And you couldn’t put it out?
sheldon,So when will you reopen?
sheldon,"So, tomorrow?"
sheldon,"Your life? The university is making me do string theory and my girlfriend loves me so much she wants to live with me. And now, the place I need to go when I’m sad is damp and smells funny."
sheldon,"No. I do not accept this. Everything is changing and I hate it. It stops now. I’m helping you get back on your feet. I would like to purchase this comic book, please."
sheldon,Really? It’s soaking wet.
sheldon,Can you break a twenty?
sheldon,"You know what? I don’t always recognize sarcasm, but I do right now, and I don’t appreciate it. I’m sorry for your loss. But you’re not the only one whose day has been a disaster."
leonard,I haven’t heard from Sheldon in a while. You think he’s okay?
penny,"Oh, I’m sure he’s fine."
leonard,I’m gonna see where he is.
penny,How?
leonard,"Oh, I know his password, so I can track his phone."
penny,You do that?
leonard,"Not always, but ever since he wandered off at the swap meet chasing a balloon, I get worried."
penny,"He can take care of himself. Look, we went over stranger danger and gave him that whistle."
leonard,That’s weird.
penny,What?
leonard,He’s at the train station.
penny,So? He loves trains.
leonard,"It’s dark out and he’s alone, I don’t like it. Let’s go get him."
penny,It’s sweet how you look out for him. You’re a good guy.
leonard,It’s not just that. My mother would kill me if I let something happen to him.
raj,"Dude, I’m so sorry."
howard,"Don’t take this the wrong way, but did you do this for the insurance money?"
raj,"We’re here for you, man. Whatever you need, okay?"
raj,"Sure, of course. Oh, actually, Emily was gonna spend the night."
raj,"Well, I can’t take all the credit. She let me do it to her, but, uh, but I can always call her and cancel."
howard,Hang on. I know a place you can stay and earn some money at the same time.
howard,"I just have to warn you, it’ll involve humiliation, degradation and verbal abuse."
leonard,Sheldon.
sheldon,You tracked my phone?
leonard,Yeah.
sheldon,"Boy, you chase one balloon for three miles."
penny,We were worried about you.
sheldon,Don’t be melodramatic. I’m just getting on a train and leaving forever.
leonard,Seriously? You don’t even have a change of clothes or a toothbrush.
sheldon,My plan is to stop at malls and buy what I need. It’s called living off the land.
