speakers,dialogue
rachel," Yeah, and could you please chop some up and just put it right there in the sauce?"
ross," You can have the last piece, if you want."
rachel," Well, I should think so. You slept with someone."
phoebe," They're gonna get through this, aren't they?"
chandler," Yeah, come on, it's Ross and Rachel, they've got too."
monica, What if they don't?
joey, You think I need a new walk?
chandler, What?
joey," Well y'know, I've been walking the same way since high school. Y'know, y'know how some guys they walk into a room and everybody takes notice. I think I need a take notice' walk."
chandler, Are you actually saying these words?
ross," What, now you're not even taking to me?  Look Rachel, I-I'm sorry, okay, I'm sorry, I was out of my mind. I thought I'd lost you, I didn't know what to do. Come on! Come on, how insane must I have been to do something like this? Huh? I-I don't cheat right, I, that's not me, I'm not Joey!"
joey," Whoa-ho-ho!  Yeah, okay."
monica, Hey. It's three in the morning. They don't know that I've come home yet. You notice how neither one of them are wondering where I am.
phoebe," Yeah, y'know, people can be so self-involved."
ross," Y'know what, y'know what, I'm-I'm not the one that wanted that, that break, okay. You're the one that bailed on us. You're the one that, that ran when things got just a little rough!"
rachel, That's....
ross, That's what?!
rachel, That is neither here nor there.
ross," Okay, well here we are. Now we're in a tough spot again, Rach. What do you want to do? How do you want to handle it? Huh? Do you wanna fight for us? Or, do you wanna bail?  I just can't see us throwing away something we know is so damn good. Rachel, I love you so much."
rachel," No Ross!!  Don't! You can't just kiss me and think you're gonna make it all go away, okay? It doesn't work that way. It doesn't just make it better. Okay?"
ross," Okay, okay, okay."
rachel,  I think you should go.
ross, What?
rachel,  I really think you need to go now.
ross,"  Okay, okay. This morning you said there was nothing so big that we couldn't work past it together..."
rachel," Yeah, what the hell did I know!"
ross," Look, look, there's got to be a way we can work past this. Okay,"
rachel,"  it doesn't matter what you say, or what you do, Ross. It's just changed, everything. Forever."
ross,"  Yeah, but this can't be it, I mean."
rachel, Then how come it is?
phoebe, They've been quiet for a long time.
joey, Maybe she killed him?
chandler, Let's go.
chandler,  Is that your new walk?
joey,"  No, I really have to pee."
joey, Can I see the comics?
chandler, This is the New York Times.
joey," Okay, may I see the comics?"
monica, Guys. I thought you were taking Ross to the game?
chandler, We are. He's meeting us here.
monica, No! Rachel is meeting us here.
phoebe," Oh come on, they can be in the same room."
joey," Yeah, you shoulda been there last night."
phoebe, Why? What happened now?
joey," Well Ross was hangin' out over at our place, Rachel comes over to borrow some moisturiser from Chandler...."
chandler," Yeah y-you, how hard is it to say something? Rachel came over to borrow something."
joey, Anyway! Her and Ross just started yelling at each other.
phoebe, Wait. Why was he yelling at her? He's the one who slept with someone else. 
joey," Well, I guess he says that because they were on a break when it happened, that she should of forgiven him by now."
phoebe," Whoa!! He is soo unreasonable! God, although I think I understand what he means. Oh my God, this is like 60 Minutes, okay, when, when, at first you're really mad at that pharmaceutical company for making the drug and then y'know you just feel bad for the people because they needed to make their hair grow."
chandler," Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn't try to kidnap me after Cub Scouts."
phoebe," Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy...."
joey, I had the same dream!
phoebe," Yeah, and nobody slept with that Xerox girl. "
joey," Oh, I had the opposite dream."
chandler," Y'know what maybe it's gonna be okay, I mean it's been a week."
joey," Yeah, I mean it's never taken me a week to get over a relationship."
monica, It's never taken you more than a shower to get over a relationship.
monica,"  Okay, let's go!! Let's hit the road!!"
rachel, Hey!
monica, Let's get the show on it! 
rachel," Okay, let me just get a cup of coffee."
monica," Oh Rachel, I know the best coffee house and it's sooo close."
rachel, Closer than here?
phoebe,"  Okay, let's skedaddle."
rachel," Wait, I'm not just gonna drink somebody's old coffee."
phoebe," Okay, your highness."
phoebe,"  Um, Rachel I'm really sorry."
rachel,  Is he here?
chandler, No.
rachel, Oh.  Here's your moisturiser. Hi! 
monica, Hey!
rachel," You guys are gonna love meee! Okay, check it out, Thursday night, five tickets, Calvin Klein lingerie show, and you guys are coming with me.  Okay, I said that out loud right?"
chandler," Yes, yes, it's just that we ah, we kinda all ready, made plans with Ross."
rachel," Oh, well okay. Well, there you go."
phoebe," No, it's just that he got this new like home theater dealie, and he wants y'know, us to check it out."
rachel, Hm-mm.
chandler," Yeah, he's really excited about it too, he even recorded show times on his answering machine."
rachel, Ohh!
monica, We're sorry honey.
rachel," Oh, it's okay. "
joey," Rach, it's, it's ah, it's not that we don't want to, really.  Are we talking models in their underwear?"
rachel, And heels.
joey,"  Ross, did ask us first, and we set that night aside."
rachel," No, hey, come on, if he asked you first, that's only fair. "
phoebe," Ohhh boy, do I feel bad."
joey, Oh yeah.
monica, Very bad.
phoebe, Chandler what are you doing?!
monica, Chandler!!
chandler,  Oh my God!
joey, You're smoking again?!
chandler," Well, actually, yesterday I was smoking again. Today, I'm, I'm smoking still."
phoebe, Why would you start again after chewing all that quitting gum?
chandler," Look, I'm telling you this is just like my parents divorce, which is when I started smoking in the first place."
monica, Weren't you nine?!
chandler," Yeahhh. I'm tellin' ya something, that ah, first smoke after nap time...."
chandler," Oh that's great, with my luck, that's gonna be him."
phoebe," Him? Him, Ross?"
chandler," Nope, hymn 253, His Eyes Are On The Sparrow! When my parents got divorced is when I started using humour as a defence mechanism. "
rachel," Hi! Uhh, do you guys have plans for the weekend? Because I have my sister on hold, and she said that we could use her cabin for the weekend and go skiing. Huh? I'm asking you first, right?!. I mean I'm playing by the rules."
rachel, Chandler! You're smoking? What are you doing?!
chandler," Hey, shut up!! You're not my real Mom!!"
joey,"  Hey, can you close that window Chandler? My nipples can cut glass over here!"
phoebe, Wait. Really?! Cause mine get me out of tickets.
ross," Look, you guys I just wanna say, I really, really appreciate you spending this time with me. It's been a pretty hard time right now, so I just wanna say thanks."
chandler, Can somebody else hug him? I have to stay by the window.
ross," Oh hey, hey, huh, how about this weekend we have a laser disc marathon okay, and maybe a tournament on my new dart board? Huh, huh, what do you think?  Two days of darts, it'll be great!"
joey, It'll be great for next weekend.
ross," No, no, no, this weekend guys!"
joey," It'll be great for next weekend. I mean,  it'll be grrreat."
ross, What's going on?
phoebe," Well, we were um, sorta invited to go skiing, y'know Rachel's sister's cabin. "
ross," So, for the whole weekend?"
monica," We're really sorry, but um, she did ask us first."
ross," Yeah, that's okay, I mean if you guys all have to go away for the first weekend I'm alone by myself, y'know then I totally, totally understand."
phoebe," Y'know what, I can stay, I'm gonna stay. Cause the last time I went skiing I was to afraid to jump off the chair lift, I just went around and around."
joey," Uh, Pheebs we kinda need you to drive us all up there in your grandmother's cab, but y'know what, I'll stay."
monica, Noo! I'll stay. He's my brother.
ross, What a pity stay?
monica, No! We're gonna have fun. We can make fudge!
ross," Pity food? Y'know what that's okay, all right, I don't need any of you to stay, okay nobody stays."
chandler," Well, then, I might as well offer to stay."
joey,"  Hey, does anybody else feel bad about Ross?"
monica, Why? Do you think he's still mad at us?
chandler,  Well he's probably mad after you called him this morning to borrow his goggles.
joey, What? Mine aren't tinted.
phoebe, Chandler!!
chandler, What?
phoebe, What does the sign say?
chandler, Beam me up Jesus.
phoebe," No, the No Smoking' sign. There's no smoking in my Grandmother's cab."
chandler," Okay, well, then, I-I have to go to the bathroom."
phoebe, Please!
monica, No Chandler no! No unscheduled stops. You can go when we stop for gas.
chandler," Oh, come on, there's a rest stop right up there! Come on, I really have to goooooooooo."
joey," Oh, now I have to go!!"
chandler," Here we go. Okay, brace yourselves."
monica, What?
rachel, Okay.
monica, Ow!
phoebe,  Aren't you gonna go?
rachel, No. Thank you.
monica,"  No, Rachel never pees in public restrooms."
rachel," Well, they never have any paper in there y'know. So my rule is no tissue, no tuschy.'  Well, if everybody's going."
phoebe," No, y'know what don't close it  cause the... keys...are in there."
chandler," Oh, no-no-no-no-no-no!!"
joey, What's going on?
chandler,  Commercial Break
chandler, Damn!  The tailpipe's not hot enough to light this!
joey," Relax okay, I-I-I can get this open. Anybody have a coat hanger?"
chandler," Oh I do! Op, no, wait a minute, I took it out of my shirt when I put it on this morning."
monica," So, if you're parents hadn't got divorced, you'd be able to answer a question like a normal person?"
joey," Look, I just need a wire something to jimmy it. Oh hey, one of you guys give me the underwire from your bra!"
monica, What?!
rachel, What?!
joey, Come on! Who has the biggest boobs?
monica, Please!!
joey," Whoever has the biggest boobs, has the biggest bra, therefore has the biggest wire."
joey," If you wanna get back in the car, we need the wire, your call."
phoebe," Okay, Monica's are the biggest."
monica," These tiny, little non-breasts?! Please, it's gotta be Rachel."
rachel," What, no, no, no, mine are deceptively small I mean, I-I-I actually sometimes, st-stuff my bra."
monica," All right then, your bra would still be big."
rachel," No, I stuff outside the bra."
chandler," Ladies, ladies, let's just compromise okay? Phoebe, Rachel take off Monica's bra."
phoebe," All right, forget it, nevermind, you can have mine."
rachel,"  Chandler, what are you doing? There is a trash can right there."
chandler," Well, I thought if I littered, that crying Indian might come by and save us."
phoebe,"  Okay, there."
joey," Thank you Phoebe, that is very, very generous."
chandler," Okay, now let's decide who has the nicest ass."
joey,  And there you go!
monica, Chandler!!
chandler, At least let me smoke it to the good part.
phoebe," Okay.  Oh, no!"
rachel," What, what's it, what's going on?"
phoebe," Yeah, this has happened before."
rachel, So you know how to fix it?
phoebe, Yep. Put more gas in.
ross,  Hey.
ross," Well, oh just ah, I was just wondering, when you and I split up, did you get the tape that was half the last episode of M*A*S*H and half the hostages coming home?"
ross, Where's Ben?
ross," Ahh.  Ooh, is this a ah, is this a bad time?"
ross," Oh! I thought you guys got married in uh, January?"
ross, Ah!  Oh.
ross," Umm, candles, champagne, yeah anniversaries are great. Cause you know love lasts forever, y'know. Nothing like it in this lifetime, money in the bank, so Rachel and I broke up."
ross," Yeah, well."
ross," Oh yeah, I'd love that."
ross, I guess it all started when Rachel got this new job. 
phoebe," Okay, yeah.  Triple A can pick us up."
rachel, Great!
phoebe," Yeah, what town are we near?"
monica," Freemont. West-Westmont, ah Westburg?"
phoebe,  Then why are you answering? Do you at least know what route we're on?
rachel," Yeah, we are definitely on Route 27."
phoebe," Okay.  Okay, either 93 or 76?"
rachel," I don't know, I'm sorry, I always slept in the back when we drove up here."
phoebe," Okay.  Yeah, no they don't do that."
rachel," Ugh, okay, well somebody will come and save us."
monica," Who? I mean have you seen a car come by here in the last hour and a half? I think we should call Ross, maybe he can get a car and come pick us up."
rachel," No! No, I am not getting in a car with Ross, we will just have to live here! "
phoebe, But if...
rachel," No you guys, I am not getting in a car with him, you'll have to think of something else."
phoebe," Oh good, oh Joey and Chandler are back."
monica, So the going for help went well?
joey," Oh yeah, Smokey Joe here got half way to the highway and collapsed."
chandler, I have the lung capacity of a two year old. 
monica, Then why are you smoking?
chandler, Well it's very unsettling.
ross," ....right? Right? I mean it's pretty unbelievable y'know, I mean they just took off, took off without even looking back. Y'know I don't, I don't need them, huh, I've got you guys now as friends, you and Susan."
ross,"  Hey, you've have more of these for Susan right?"
phoebe,"  Ross, thank God."
ross," Pheebs? What, why are you whispering?"
phoebe, I ate a bug.
monica, 
phoebe," Listen Ross, we ran out of gas, and we don't know where we are, so we can't get a tow truck."
ross," Oh, now you want a favour?"
phoebe," Yes, please."
ross," Well, oh, I'm sorry your car broke down Pheebs, but I'm a little too busy with some of my real friends right now, but please call to let me know you got home safely okay?"
ross," No, I'm not gonna pick them up."
ross," No, Rachel doesn't want me to...."
ross," Yeah, you're right."
ross, We were on a break!!! Okay!! 
ross," Oh, you-you're-you're one to talk."
joey," Okay, done."
monica,  What's pleh'?
joey, That's help' spelled backwards so that the helicopters can read it from the air!
monica, Huh. What's doofus spelled backwards?
rachel,  Ugh!!!
phoebe," Oh, it's Ross on one of his drives!"
joey, Hey!!
phoebe, Hi!
rachel, What is he doing here?!
ross," He is saving your butt, ah, unless of course I'm stepping on some toes here, in which case I can just mosey on, I've got plenty of people to help on the Interstate."
rachel, All right!! Fine! Fine.
joey, Arrrghh!!
chandler," Oh no, now it's not gonna make any sense!"
phoebe,"  You guys, what, what do we do about Ross who drove all the way up here? What do we do? Just like send him back and we're then gonna go skiing?"
chandler," Oh, this is horrible, it's just horrible."
joey," Guys, do you think we should ask Ross to come along?"
monica," I know, what about Rachel? I mean how are we even gonna ask her?"
rachel, Ask me what?
monica," Umm, if ah, it might be okay if Ross came skiing?"
phoebe," No, I wasn't gonna ask you that, no."
rachel, You guys are unbelievable. No! He cannot come.
ross, Excuse me?
chandler, It's horrible.
ross,"  Oh please, can't I come to your special, magical cabin?"
rachel, Why would you even want to come Ross? You're a horrible skier.
ross," Oh-oh, hitting me where it hurts, my ski skills."
monica, Here we go again.
joey," I-I can't handle this, you guys."
chandler," Y'know what, I can handle it, handle's my middle name. Actually it's the ah, middle part of my first name."
ross," All right Pheebs, your cab's ready."
rachel," All right, let's go!"
ross, You're welcome.
rachel," Oh, I'm sorry, were you speaking to me or sleeping with someone else?"
ross, We were on a break!
rachel, Y'know Ross why don't you put that on your answering machine!
ross," Hey-hey, it's valid okay? And I'm not the only one who thinks so, Monica agrees with me."
rachel,  What?!
monica,  I don't know.
ross, That's what you said last night.
monica," What I said was, was that I understood. Joey's the one who agreed with you!"
ross, Okay.
rachel, Really Joey?
joey,  What?
phoebe," Y'know what, but there is, there is no right or wrong, here."
rachel," No, I think it's very obvious who's wrong here."
ross, Obviously not to Joey.
joey,  What?
ross,"  Look both, Joey and Monica feel the same way that I do. No-no-no-no."
chandler," Guys, guys, guess who I am?! "
phoebe," Hey! Hey! Hey! Hey!! Hey!!!  You don't, all right you don't have to love each other, okay? You don't, you don't even have to like each other much right now. But please, you have to figure out a way to be around each other."
joey," Yeah, and not put us in the middle."
phoebe," Yeah, otherwise, I mean that's, that's, that's just it for us hanging out together. Y'know is that what you want?  Can you be civil?"
rachel, Yeah.
ross, I can.
phoebe," Okay. Good, all right, let's get back in the car, cause it's freezing, and my chest is unsupported."
joey," Oh what, wait, wait a second, I mean, what are we doing? Who's going with who?"
ross," Look, you guys, you guys should go.  No, I'm, you, you planned this all out, and I don't want to ruin it, so you guys should just go."
joey," Come on man, you drove all the way up here."
ross," No, no, really, I've got to take the car back anyway, I'm spending all day tomorrow with Ben, It's fine, no guilt I promise."
rachel, Thank you.
monica," All right, we'll call you when we get back."
ross, Okay.
phoebe, Maybe we can like go to a movie or something. 
ross, Okay.
phoebe," Or, or the rodeo!!"
ross, That would be great.
phoebe, Okay!
chandler, I was being Shelly Winters from The Poseidon Adventure.
ross, I know!
phoebe, Bye!!!
ross,  Hi! Sorry I'm late. Were you sleeping?
ross," Oh, great! Listen, oh I had to get you a whole new battery. I got you the best one I could, cause that's not where you want to skimp."
ross," Yeah, well it came to about $112, but what the hell, just call it an even 110?"
ross, Okay.
ross," So they ah, they all took off, it was pretty hard watching them go, y'know?"
ross,  So I'm gonna take off then!
monica,  What's so funny?
joey," Oh, nothing, no. It's an acting exercise, I'm practising my fake laugh."
monica, Oh. 
joey, What-what's so funny?
chandler, Oh come on man! At least let me finish this last one.
chandler, Okay.
chandler," No-no, why don't you hang on to that one."
chandler," Okay, that's like the least fun game ever."
rachel," Well, I'm really sick of your smoking, so I brought something that is going to help you quit. "
chandler, Oh. 
rachel," Come on, it's a hypnosis tape. This woman at work used it for two weeks straight and she hasn't smoked since."
ross, Pffhah.
rachel,  What's your problem?
ross," Nothing, it's just that hypnosis is beyond crap."
rachel," Ross, I watched you get hypnotised in Atlantic City."
ross," Hey, that guy did not hypnotise me! Okay."
rachel," Oh right, cause you always pull your pants down at the count of three and play Wipe-out on your butt cheeks."
phoebe," All right, y'know forget hypnosis. The way to quit smoking is you have to dance naked in a field of heather, and then bath in the sweat of six healthy young men."
chandler, Or what my Father called Thursday night.
ross, Here you go.
rachel," Oh, y'know what, I didn't want cinnamon on this."
ross, Sorry. 
phoebe, Oh my God!! 
phoebe, Frank! Hi!
phoebe, What are you doing here?
phoebe, What happened?
phoebe," But, also, what happened between you and your Mom?"
phoebe, Your getting married?!
phoebe, My little brother's getting married!!
phoebe, Do I?
phoebe," Yeah, I do, yeah."
chandler," Y'know, I would've bet good money that he'd be the first one of us to get married."
phoebe," Yeah, isn't it fantastic?"
monica," Yeah, ah, but Pheebs don't you think he's a little young to get married?"
phoebe," What, he's 18."
ross," Exactly, it'll be illegal for him to drink at his own bachelor party."
joey," Yeah, or-or to get a hooker."
chandler, Always illegal Joe.
phoebe," Yeah, I'm a big surprise."
monica," So, um, how-how did you guys meet?"
chandler," If that doesn't keep kids in school, what will?"
ross, And so now you guys are gonna be married?
rachel, Oh my God!! Great!
phoebe," Wow, kids. Frank, are you sure you're ready for that?"
phoebe, Oh good! Okay. Cause you were acting like you didn't.
monica," And y'know what, I just realised, in the last year I've only gone out with two guys, Richard and Julio. You gotta help me out here, you gotta set me up, you gotta get me back in the game."
rachel," Well, that shouldn't be a problem. I mean I work in fashion and all I meet are eligible straight men."
monica,"  Pete, can I get you something else?"
monica, Haven't you and I covered that topic?
monica," Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food."
rachel,"  Well, I mean, are you sure you want to go out with her? I mean that ain't a pretty picture in the morning, y'know what I mean. That wig all in disarray, and boobs flung over the night stand, y'know. "
monica," I mean really, think about it."
phoebe," No, I know, I know, that this is Frank's life,  y'know. Y'know, I don't want to be all judgmental, y'know, but this is sick, it's sick and wrong!"
ross," Pheebs, what, is it the age thing?"
phoebe," No-no, oh, I'm fine with the age thing y'know, until it starts sticking it's tongue down my little brother's throat! "
joey," Pheebs, he seems to enjoy it."
phoebe," But, I mean, do you think he's gonna enjoy it when he's up to his elbows in the diapers from all the babies they have to have right away?! This is not fair to Frank,  and it-it's not fair to the babies, and y'know what, it's not good home economics."
joey," Well, have-have you told him how you feel?"
phoebe, Yes. Not out loud.
ross," Pheebs, if you don't tell him, soon he's gonna be married, and then you're gonna hate yourself."
phoebe," Yeah, but if I do tell him, then he's gonna hate myself. I mean look at him and his Mom, I can't.  But, you guys can, please you gotta talk him out of it."
ross, No-no-no-no-no. 
phoebe," Come on, you guys, you have nothing to lose, I have everything to lose. Do you want me to lose everything? Everything?!"
ross, No.
phoebe," Okay, I'm gonna go get Frank. "
joey," So, we're walking down the street and I turn to you and I say, Hey, let's go hang out at Totally Nude Nudes, remember? And then, and then, you turn to me and say, Nah, let's just hang out at your place. Well, that was a nice move dumb ass. "
rachel, I think you should definitely go out with this guy.
monica," Nah, he doesn't do anything for me."
rachel," Monica, last Saturday night, what happened on Walker"
monica," Well, umm, Walker was looking for this big bus load of kids ."
rachel, All right.
chandler,  Hi.
monica, Hey.
chandler," Y'know, I forgot the combination to this about a year ago? I just carry it around. Do you have any Chap Stick?"
monica," Uh, yeah."
rachel," Hey, how are those tapes working out for ya?"
chandler," Y'know what, pretty good."
rachel, Yeah?
chandler," Good! I haven't smoked yet today, I feel great, and-and-and confident, that is a stunning blouse."
rachel, Thank you.
monica, Here you go.
chandler, Thanks
rachel," Hey Mon, let's give Pete a chance Come on, he was funny, he seems really nice, and that check thing was adorable."
chandler, What check thing?
monica," As a joke, this customer at work who has a crush on me gave me a $20,000 tip. His number is on the check, he just did so I'd call him."
chandler,  Pete Becker. Pete
monica, That's Bill Clinton.
chandler, Who's he huggin'?
monica, Oh my God! That's Pete! But why is Bill huggin' Pete?
chandler, This guy invented Moss 865! Every office in the world uses that program!
rachel, We use it!!
chandler, There you go!!
rachel," Oh my God, Monica's gonna go out with a millionaire. "
monica, I'm not gonna go out with him.
rachel," Oh my God, I can't believe this is a real $20,000 check, oh this is just so exciting."
monica, Or incredibly offensive.
rachel," Oh yeah, sure, that too."
chandler,  What?
ross, All we're saying is don't rush into anything.
joey," Yeah, come on, think about it. You're 18, okay, she's 44, when you're 36, she's gonna be 88."
joey," Look, the point is, there's a lot of women out there you haven't even had sex with yet!"
ross," Yeah, he-he's right, he's right. This is your time y'know, yeah, you're young, you're-you're weird, chicks dig that."
joey," Yeah, in a poem maybe."
ross," No the man's right, that's what I had with Rachel."
ross," No, I ah, I slept with someone else."
ross, It didn't.
joey," Now, wh-what, what is that like?"
ross," Yeah, yeah."
joey,  Why can't I find that?
ross," Don't ask me, I had it and I blew it!"
joey," Well, I want it!"
joey," I don't know, maybe I can't. I mean, maybe there's something wrong with me."
ross," Oh, no! No!"
joey, Then you hold on to it!!
joey," All right, congratulations you lucky bastard! "
phoebe,  You're Frank's best man?!
joey," I couldn't help it, there love is so pure."
phoebe," Well then,  what about you?! Huh?!"
ross, I'm the ring bearer.
phoebe," Hi! Oh, Alice, hi! Thanks. I'm so glad you could come, cause I've got a real umm, Home Ec emergency. "
phoebe," Yeah, I know. It's a real mustard-tastrophe. Can you help me?"
phoebe," Y'know what, forget it. It's ruined. "
phoebe," Or instead, maybe you could just not marry my brother Frank."
monica, What the hell is this? 
monica," Seriously, what is this supposed to mean?"
monica," You're supposed to double the tax. Not double the tax of Romania. I mean, what's-what's the deal? Are you, are you trying to buy me? Is this the way you get girls to go out with you?"
monica, What?!
monica," Okay, umm, you're a loon."
monica, I don't know.
monica, Cause I don't want to encourage this kind of behaviour.
phoebe," Okay. Whoa, sorry. Why were you just like all in the dark?"
phoebe," Oh, yeah, sure. So, how was your day?"
phoebe," What umm, what happened?"
phoebe," Oh no. Did umm, did she say why?"
phoebe," Yeah, yeah, no, I don't, I don't know. But, y'know what, maybe it's just all for the best?"
phoebe," Oh, sweetie, oh. "
phoebe," Uh, well I can tell you why. It's, it's because of me. But, y'know what, I only did it because I love you. Okay?"
phoebe," Umm, well I, I kinda had a little chat with Alice, and I sort of made her see why you two shouldn't be together, y'know. And you're gonna see it to, one day, you really, really will."
phoebe, Okay.
phoebe," Okay, but."
rachel, Oh my God! The millionaire's here!
chandler, 
monica," Guys, please, I'm just gonna have dinner with him. Okay?"
chandler," Okay, okay, just because he buys you dinner, does not mean you owe him anything."
monica, I know!!
chandler," Okay, then get the lobster!"
monica,  Hey!
rachel, Hi!!
joey, Hey!
ross, Hi!
joey," Hey, how much cash do you got in your pocket right now?"
monica," And that's why, I'm not inviting you in for a drink.  Bye."
rachel, Just one drink?!
monica,"  So, where do you want to go?"
monica," Oh, that's sounds great."
monica," Oh come on, it's only fair, you paid for the flight. Now is, is that enough lire?"
monica," Why, how much is that?"
joey, Every night!! 
phoebe," Hey, Frank. Look, okay, I know that you think I did like this totally evil thing, but I so didn't. There's someone here who can explain this better than I can."
phoebe," Yeah, but not just that."
phoebe, None the less.
phoebe," That's right, exactly. ."
joey,  And you also want to buy him hundreds of dollars worth of pants. 
rachel, Thank you.
rachel," Hi! All right, let's go shoppin'!!"
rachel," Oh, okay."
rachel, Wow! Umm....
monica," Oh, this is so great."
monica, All right then.  Bye.
monica," Hello, people who do not live here."
monica, I gave you a key for emergencies!
phoebe, We were out of Doritos.
ross," Hey, how'd the date go with Mr. Millionaire?"
chandler," Mr. Millionaire, new from Snooty Playthings! Third wife sold separately."
monica," He's great! I mean we have such a good time together! He's so funny, and sooo sweet, and I'm not attracted to him at all!!"
ross, Still?!
monica," Noo!! It's driving me crazy. I mean every other way he's like the perfect guy, he has everything. Plus! He actually has everything."
chandler, Life-sized Imperial Storm Troopers from Sharper Image?
monica, Two.
chandler, Wow!! Can Joey and I put them on and fight?
joey, 
ross, I guess he musta gotten the part in that play.
monica, Oh.
chandler," Yeah, either that, or Gloria Estefan was right, eventually, the rhythm is going to get you."
joey, Good.  Hey.
joey," Oh, so you're playing Adrienne, huh?"
joey," Oh, no. Ah, I playing your husband, Victor. I'm Joey Tribianni."
joey," So the ah, play's pretty great, huh?"
joey," Oh, forget about it. She rocks!"
joey, Dr. Drake Remoray. Days of Our Lives. Voted most datable neurosurgeon by Teen Beat.
joey," Hey, I've done plays before. I'm a serious actor."
joey," See, I actually can pour milk, but I got you believing that I couldn't. Now, see, that's acting."
joey," Yeah, that was real."
phoebe, Wow! I cannot believe Mark asked you out.
rachel, I know.
phoebe," What, so what are you gonna tell him?"
rachel," Well, I told him I would think about it, but I'm gonna tell him no."
phoebe, Huh.
rachel," I mean I think I'd say no to anybody right now.  Oh, but it was so strange. I mean I'm standing there with this charming, cute guy, who's asking me to go out with him, which I'm allowed to do, and I felt guilty. Y'know, like I'd be cheating on Ross or something."
phoebe," Wow. So, okay, maybe that means that, you're not over Ross yet and you have issues with your father."
rachel, I don't have any issues with my Father.
phoebe," Okay, so it's probably just the Ross thing then."
joey," I hate this woman!! I hate her! She told everyone in the company about that info-mercial, and now they all keep asking me to open their drinks. Okay, and whenever I can't do it, they're all like-like laughing at me."
ross,  Hello.
joey, Hey!
ross, So Rachel called. Wants to see me. Going over in a minute.
joey," Wow, what-what do you think she wants?"
ross," Well, maybe the crazy fog has lifted and she realises that life without me.... a-sucks."
chandler," It's possible. You are very loveable, I'd miss you if I broke up with you.  I was just trying to be supportive."
ross, Then be supportive like a guy.
chandler,"  If I broke up with you, I'd miss you."
ross, Hi.
rachel, Hi!
ross," You ah, wanted to see me?"
rachel," Yeah. Ahh, here's a box of your stuff. "
ross, What?!
rachel," Oh, y'know, it's just like hats, and a shirt, and CD's, just sort of stuff that you've left here."
ross, What are you doing? Are you trying to hurt me? Or something?
rachel," No. Ross, it, it just seems that y'know it's time we-we y'know, move on. I mean, I mean don't' you think?"
ross, Yes. 
rachel, Yeah?
ross," Yes, I do."
rachel, Good.
ross," Yeah, I-I really do.  Hey! This-this was a gift?!"
rachel," Ross, you got that for free from the museum gift shop."
ross, It's still a gift! I got it from the gift shop!
rachel," Okay, all right, give me the mug! I'll keep the mug."
ross," No!! Y'know-y'know don't do me any favours. In fact, where, where's the rest of my stuff?! Huh? Like-like my umm,  Hey, this book is mine!! And-and-and, and that T-shirt you sleep in? I'd like that back too. Yes, I do."
rachel, You know how much I love that T-shirt! You never even where that T-shirt!
ross," I'm just trying to help you, move on."
rachel," Oh, you are a petty man. You are a petty, petty...."
ross, Petty...
rachel, Petty... 
ross, Petty...
rachel, Petty...
ross, Petty...
rachel, Small...
ross, Small... 
rachel, You are so just doing this out of spite.
ross," Awwwahuh, no, no, no!!"
rachel, Huh?
ross, I'm-I'm gonna wear this all the time! I love this shirt!! 
rachel, You have not worn that T-shirt since you were 15!! It doesn't even fit you anymore!
ross," Oh, yeah-yeah-yeah-yeah..."
rachel,  yeah-yeah-yeah!!
ross," Oh-oh, okay, okay! "
phoebe," So, you're like a zillionaire? "
chandler, And you're our age. You're our age.
phoebe," Y'know what, you should like, you should buy a state and then just name it after yourself."
phoebe," Yeah, or, or, or, Mississ-Pete."
joey," Oh, oh, I got it! Pete-Chicago."
chandler, That's not a state Joe.
joey," Oh, and Mississ-Pete is?"
chandler, You're our age!
monica," Absolutely!  Okay, I'm running out of places I can touch him! Look, is there something wrong with me? I mean why am I only attracted to guys where there's no future? Either they're too old, or they're too young, and then there's Pete who's-who's crazy about me, and who's absolutely perfect for me, and there's like zip going on! I mean, seriously, does it sound like something's wrong with me?!"
phoebe," Yeah, kinda."
joey," Well, why don't you tell me what you're supposed to be! Huh? Because I sure as hell can't figure it out! I talk to you and nothin'. You look at me, and it's nothin'.  Nothing."
joey, Yeah.
joey," Oh, hey, how about this one. Ah, it's says so in the script! Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch."
joey, It does in mine!
chandler," I can blow dry it. I can put gel on it. It doesn't matter, I still wind up with this little  cowlicky thing on the middle part of my head. It's so annoying. Does it bug you?"
ross, You bug me.
chandler, Is there any chance you didn't see that? Commercial Break
chandler, Ross! You gotta stop! Okay?! You can't just stare through the peep hole for three hours! You're gonna get peep eye!
ross," I knew it! I knew it! I always knew she liked him! Y'know, she'd say no, but here we are! Right? We just broke up, first thing she does!"
chandler, You didn't just break up.
ross," Hey, it's been like three weeks!"
chandler, You slept with somebody three hours after you thought you broke up. I mean bullets have left guns slower!
ross," Here they come, here they come. Oh-ho, if she kisses him goodnight, I'm gonna kill myself, I swear. I can't, I can't watch this.  Come on, date over! Date over! Uh-oh, here we go, she's going in."
chandler, Okay.
